Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,51,1,322.38,7,0.17,0.51,0.24,13.64,37.28,0.13,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,52,1,336.02,12,0.29,0.54,0.41,1.79,41.64,0.44,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,53,1,337.81,5,0.12,0.75,0.17,5.89,251.73,0.92,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,54,1,343.7,14,0.34,0.54,0.43,6.77,88.04,0.79,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,55,1,350.47,5,0.12,0.51,0.17,14.1,0.8,0,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,56,1,364.57,10,0.24,0.59,0.32,14.97,72.23,0.37,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,57,1,379.54,17,0.41,0.57,0.57,30.73,40.47,0.35,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,58,1,410.27,7,0.17,0.5,0.22,7.28,42.86,0.92,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,59,1,417.55,11,0.27,0.62,0.4,4.8,36.83,0.37,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,60,1,422.35,6,0.15,0.63,0.18,3.27,68.03,0.45,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,61,1,425.62,7,0.17,0.66,0.19,2.45,161.42,0.94,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,62,1,428.07,12,0.29,0.54,0.39,14.05,36.11,0.22,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,63,1,442.12,11,0.27,0.59,0.37,6.8,64.97,0.57,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,64,1,448.92,8,0.2,0.7,0.22,21.35,91.95,0.84,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,65,1,470.27,15,0.37,0.78,0.49,13.35,60.04,1.09,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,66,1,483.62,27,0.66,1.03,0.68,5.87,72.52,0.37,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,67,1,489.49,6,0.15,0.68,0.18,3.92,121.4,0.44,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,68,1,493.41,12,0.29,0.51,0.38,20.69,65.6,0.81,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,69,1,514.1,7,0.17,0.51,0.25,1.67,120.5,1.22,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,70,1,515.77,23,0.56,0.85,0.6,3.52,80.75,0.53,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,71,1,519.29,10,0.24,0.52,0.34,4.89,28.68,0.13,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,72,1,524.18,7,0.17,0.76,0.2,1.91,110.73,0.44,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,73,1,526.09,14,0.34,0.62,0.48,12.71,41.44,0.46,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,74,1,538.8,6,0.15,0.56,0.17,15.96,150.02,1.02,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,75,1,554.76,12,0.29,1.57,0.19,5.22,285.35,1,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,76,1,559.98,9,0.22,0.65,0.31,1.87,30.2,0.15,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,77,1,561.85,2,0.05,0.26,0.19,1.23,24.6,0,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,78,1,563.08,18,0.44,0.63,0.6,4.36,77.07,0.8,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,79,1,567.44,12,0.29,0.49,0.39,3.3,38.81,0.56,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,80,1,570.74,13,0.32,0.6,0.44,8.93,57.66,1.49,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,81,1,579.67,16,0.39,1.72,0.23,6.83,149.76,0.9,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,82,1,586.5,6,0.15,0.61,0.19,2.83,117.53,0.63,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,83,1,589.33,8,0.2,1.21,0.19,14.23,241.68,0.92,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,84,1,603.56,17,0.41,0.56,0.56,10.81,32.97,0.35,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,85,1,614.37,6,0.15,0.65,0.19,13.64,95.7,0.26,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,86,1,628.01,16,0.39,0.54,0.51,24.08,39.88,0.68,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,87,1,652.09,24,0.59,0.81,0.54,5.26,120.11,1.41,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
